CT Hotel ID,Market Name
1323636,Chains
1323626,Chains
1327278,Chains
1327292,Chains
1343346,Chains
1343348,Chains
1343352,Chains
1358756,Chains
1358758,Chains
1352812,Chains
40208,Chains
865618,Chains
161825,Chains
1358788,Chains
1358794,Chains
1509846,Chains
2358350,Chains
2363554,Chains
2363592,Chains
2363602,Chains
957150,Chains
957164,Chains
957168,Chains
957278,Chains
1324368,Chains
1324350,Chains
1326358,Chains
1324338,Chains
1325628,Chains
1326674,Chains
1326836,Chains
1326424,Chains
1336652,Chains
1345628,Chains
1326272,Chains
1332082,Chains
1332828,Chains
1328906,Chains
1328916,Chains
1329102,Chains
1329212,Chains
1329216,Chains
1329106,Chains
1336988,Chains
866714,Chains
866718,Chains
866684,Chains
867748,Chains
867756,Chains
870310,Chains
871350,Chains
946896,Chains
1324824,Chains
1324826,Chains
956758,Chains
957246,Chains
1098100,Chains
957284,Chains
870314,Chains
957170,Chains
1346328,Chains
1328056,Chains
1327912,Chains
1328054,Chains
870326,Chains
1325210,Chains
870308,Chains
955080,Chains
871346,Chains
1346334,Chains
957158,Chains
1328924,Chains
1329348,Chains
1332016,Chains
1332000,Chains
946898,Chains
1282158,Chains
2043744,Chains
2043786,Chains
40243,Chains
385634,Chains
2180750,Chains
2180862,Chains
2180842,Chains
2180888,Chains
2180832,Chains
957160,Chains
1326832,Chains
1332068,Chains
1326314,Chains
1336822,Chains
1345636,Chains
1336994,Chains
2047832,Chains
2180736,Chains
2047178,Chains
870312,Chains
2046976,Chains
2047182,Chains
2047078,Chains
2047894,Chains
2047094,Chains
1346332,Chains
2180808,Chains
2180748,Chains
957140,Chains
957152,Chains
2047896,Chains
1324312,Chains
957288,Chains
1353908,Chains
332675,Chains
1360650,Chains
716079,Chains
379426,Chains
311660,Chains
716157,Chains
730149,Chains
1337658,Chains
1328898,Chains
1358692,Chains
2044052,Chains
1358704,Chains
380618,Chains
707606,Chains
2357046,Chains
2357052,Chains
2357066,Chains
2357074,Chains
2357080,Chains
2357086,Chains
2357090,Chains
2357094,Chains
2357100,Chains
2357104,Chains
2357106,Chains
2357184,Chains
2357186,Chains
2357192,Chains
2357214,Chains
2357226,Chains
2357240,Chains
2357242,Chains
2357246,Chains
2357248,Chains
2357252,Chains
2357260,Chains
2357262,Chains
2357266,Chains
2357268,Chains
2357290,Chains
2357304,Chains
2360002,Chains
2360048,Chains
2360082,Chains
2360110,Chains
2360124,Chains
2360178,Chains
2360192,Chains
2360204,Chains
2360500,Chains
2360514,Chains
2360536,Chains
2363484,Chains
2404134,Chains
2421290,Chains
2421454,Chains
2421464,Chains
2420894,Chains
2420974,Chains
2420904,Chains
2363808,Chains
2422300,Chains
2422308,Chains
2422454,Chains
