Booking_hotel_id,Booking_hotel_url,cleartrip_hotel_id,TA_hotel_id,cthotel_name,TA_url,Booking_hotel_name,TA_city_name
2118565,https://www.booking.com/hotel/in/delight-hotels-sernya.en-gb.html,720479,3319907,Delight Hotels Sernya,https://www.tripadvisor.in/Hotel_Review-d3319907.html,Delight Hotels Sernya,Gangtok
2118581,https://www.booking.com/hotel/in/delight-hotels-sushanta-awaas.en-gb.html,723852,5552438,Delight Hotels Susanta Awaas,https://www.tripadvisor.in/Hotel_Review-d5552438.html,Delight Hotels Sushanta Awaas,Gangtok
2118813,https://www.booking.com/hotel/in/new-bharat.en-gb.html,721867,6668661,Hotel New Bharat,https://www.tripadvisor.in/Hotel_Review-d6668661.html,New Bharat,Mussoorie
2122542,https://www.booking.com/hotel/in/venkat-presidency-turambhe.en-gb.html,171460,1575404,Hotel Venkat Presidency,https://www.tripadvisor.in/Hotel_Review-d1575404.html,Venkat Presidency,Navi Mumbai
2124342,https://www.booking.com/hotel/in/grand-maurya-and-resorts.en-gb.html,42422,734550,Grand Maurya Resort,https://www.tripadvisor.in/Hotel_Review-d734550.html,Grand Maurya And Resorts,Mysore
2124675,https://www.booking.com/hotel/in/honey-beach-cottages.en-gb.html,314555,1935445,Honey Beach Cottages,https://www.tripadvisor.in/Hotel_Review-d1935445.html,Honey Beach Cottages,Gokarna
2124704,https://www.booking.com/hotel/in/classic-international.en-gb.html,314846,1178775,Hotel Classic International,https://www.tripadvisor.in/Hotel_Review-d1178775.html,Hotel Classic International,Dehradun
2125495,https://www.booking.com/hotel/in/the-garh-marwar-kuri.en-gb.html,718892,9563418,The Garh Marwar,https://www.tripadvisor.in/Hotel_Review-d9563418.html,Atulya Garh Marwar,Jaisalmer
2133554,https://www.booking.com/hotel/in/saradharam.en-gb.html,742202,498358,Hotel Saradharam,https://www.tripadvisor.in/Hotel_Review-d498358.html,Hotel Saradharam,Chidambaram
2134219,https://www.booking.com/hotel/in/marari-jackson-beach-villa.en-gb.html,738144,2700834,Marari Austin Beach Villa,https://www.tripadvisor.in/Hotel_Review-d2700834.html,Marari Jackson Beach Villa,Mararikulam
2136958,https://www.booking.com/hotel/in/rathna-residency-coimbatore.en-gb.html,423724,1432110,Rathna Residency,https://www.tripadvisor.in/Hotel_Review-d1432110.html,Hotel Rathna Residency,Coimbatore
2138893,https://www.booking.com/hotel/in/barog-heights.en-gb.html,710441,1460621,Barog Heights,https://www.tripadvisor.in/Hotel_Review-d1460621.html,Hotel Barog Heights,Barog
2139249,https://www.booking.com/hotel/in/magnolia-estates-amp-resorts.en-gb.html,318469,1975518,Magnolia Estate Stay,https://www.tripadvisor.in/Hotel_Review-d1975518.html,Magnolia Estates & Resorts,Coorg
2141325,https://www.booking.com/hotel/in/holidei-inn-jamshedpur.en-gb.html,708981,5114251,Holidei Inn,https://www.tripadvisor.in/Hotel_Review-d5114251.html,Holidei Inn,Jamshedpur
2141422,https://www.booking.com/hotel/in/dolphin-cottage-home-stay.en-gb.html,1331008,8813103,Dolphin Cottage,https://www.tripadvisor.in/Hotel_Review-d8813103.html,Dolphin Cottage Home Stay,Shimla
2141703,https://www.booking.com/hotel/in/lake-resort-boutique.en-gb.html,384638,7165949,Hotel Lake Resort Boutique,https://www.tripadvisor.in/Hotel_Review-d7165949.html,Hotel Lake Resort Boutique,Srinagar
2144529,https://www.booking.com/hotel/in/snowbeach-cottages.en-gb.html,1327608,8652133,The Bungalows Snow View Ramgarh,https://www.tripadvisor.in/Hotel_Review-d8652133.html,Snowbeach Cottages,Nainital
2145887,https://www.booking.com/hotel/in/vinayak-palace-jodhpur.en-gb.html,708740,3724026,Hotel Vinayak Palace,https://www.tripadvisor.in/Hotel_Review-d3724026.html,Hotel Vinayak Palace,Jodhpur
2145975,https://www.booking.com/hotel/in/the-emerald-park.en-gb.html,41151,677943,The Emerald Park,https://www.tripadvisor.in/Hotel_Review-d677943.html,The Emerald Park,Nashik
2149084,https://www.booking.com/hotel/in/olive-international-kottayam1.en-gb.html,746706,4074622,Hotel Olive International,https://www.tripadvisor.in/Hotel_Review-d4074622.html,Olive International,Pala
2153015,https://www.booking.com/hotel/in/kullu-valley.en-gb.html,379140,1195471,Hotel Kullu Valley,https://www.tripadvisor.in/Hotel_Review-d1195471.html,Hotel Kullu Valley,Kullu
2158502,https://www.booking.com/hotel/in/mayur-bar-amp-restaurant.en-gb.html,711495,3974208,Mayur Hotel - Solan,https://www.tripadvisor.in/Hotel_Review-d3974208.html,Mayur Hotel Bar And Restaurant,Solan
2158510,https://www.booking.com/hotel/in/santiniketan-digha.en-gb.html,710503,2456394,Hotel Santiniketan,https://www.tripadvisor.in/Hotel_Review-d2456394.html,Hotel Santiniketan,Digha
